127.0.0.1 - - [17/Jun/2024:08:36:06 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Jun/2024:08:36:07 +0700] "GET /library_manager/ HTTP/1.1" 200 36096
0:0:0:0:0:0:0:1 - - [17/Jun/2024:08:36:07 +0700] "GET /library_manager/css/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 98255
0:0:0:0:0:0:0:1 - - [17/Jun/2024:08:36:07 +0700] "GET /library_manager/css/remixicon.css HTTP/1.1" 200 138761
0:0:0:0:0:0:0:1 - - [17/Jun/2024:08:36:07 +0700] "GET /library_manager/css/boxicons.min.css HTTP/1.1" 200 68028
0:0:0:0:0:0:0:1 - - [17/Jun/2024:08:36:07 +0700] "GET /library_manager/css/quill.snow.css HTTP/1.1" 200 24606
0:0:0:0:0:0:0:1 - - [17/Jun/2024:08:36:07 +0700] "GET /library_manager/css/bootstrap.min.css HTTP/1.1" 200 232803
0:0:0:0:0:0:0:1 - - [17/Jun/2024:08:36:07 +0700] "GET /library_manager/css/quill.bubble.css HTTP/1.1" 200 25216
0:0:0:0:0:0:0:1 - - [17/Jun/2024:08:36:07 +0700] "GET /library_manager/css/stylex.css HTTP/1.1" 200 20977
0:0:0:0:0:0:0:1 - - [17/Jun/2024:08:36:07 +0700] "GET /library_manager/css/style.css HTTP/1.1" 200 4873
0:0:0:0:0:0:0:1 - - [17/Jun/2024:08:36:07 +0700] "GET /library_manager/assets/img/logo.png HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [17/Jun/2024:08:36:07 +0700] "GET /library_manager/assets/img/messages-1.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:08:36:07 +0700] "GET /library_manager/assets/img/messages-2.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:08:36:07 +0700] "GET /library_manager/js/bootstrap.bundle.min.js HTTP/1.1" 200 80721
0:0:0:0:0:0:0:1 - - [17/Jun/2024:08:36:07 +0700] "GET /library_manager/js/apexcharts.min.js HTTP/1.1" 200 529671
0:0:0:0:0:0:0:1 - - [17/Jun/2024:08:36:07 +0700] "GET /library_manager/assets/img/profile-img.jpg HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [17/Jun/2024:08:36:07 +0700] "GET /library_manager/assets/img/messages-3.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:08:36:07 +0700] "GET /js/echarts.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [17/Jun/2024:08:36:07 +0700] "GET /js/validate.js HTTP/1.1" 404 691
0:0:0:0:0:0:0:1 - - [17/Jun/2024:08:36:07 +0700] "GET /js/main.js HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [17/Jun/2024:08:36:07 +0700] "GET /js/tinymce.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [17/Jun/2024:08:36:08 +0700] "GET /library_manager/css/bootstrap-icons/fonts/bootstrap-icons.woff2?dd67030699838ea613ee6dbda90effa6 HTTP/1.1" 200 130396
0:0:0:0:0:0:0:1 - - [17/Jun/2024:08:36:09 +0700] "GET /img/favicon.png HTTP/1.1" 404 692
0:0:0:0:0:0:0:1 - - [17/Jun/2024:08:36:12 +0700] "GET /library_manager/components-alerts.html HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [17/Jun/2024:08:36:12 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [17/Jun/2024:08:44:30 +0700] "GET /library_manager/components-alerts.html HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:05:17 +0700] "GET /library_manager/ HTTP/1.1" 200 37337
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:05:17 +0700] "GET /library_manager/assets/img/messages-1.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:05:17 +0700] "GET /library_manager/assets/img/logo.png HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:05:17 +0700] "GET /library_manager/assets/img/messages-3.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:05:17 +0700] "GET /library_manager/assets/img/messages-2.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:05:17 +0700] "GET /library_manager/assets/img/profile-img.jpg HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:05:17 +0700] "GET /js/echarts.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:05:17 +0700] "GET /js/validate.js HTTP/1.1" 404 691
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:05:17 +0700] "GET /js/main.js HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:05:17 +0700] "GET /js/tinymce.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:13 +0700] "GET /library_manager/ HTTP/1.1" 200 41897
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:13 +0700] "GET /library_manager/assets/img/logo.png HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:13 +0700] "GET /library_manager/assets/img/messages-2.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:13 +0700] "GET /library_manager/assets/img/messages-1.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:13 +0700] "GET /js/tinymce.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:13 +0700] "GET /js/validate.js HTTP/1.1" 404 691
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:13 +0700] "GET /library_manager/assets/img/messages-3.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:13 +0700] "GET /library_manager/assets/img/profile-img.jpg HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:13 +0700] "GET /js/main.js HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:13 +0700] "GET /js/echarts.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:20 +0700] "GET /library_manager/forms-layouts.html HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:23 +0700] "GET /library_manager/addBook.jsp HTTP/1.1" 200 13791
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:23 +0700] "GET /library_manager/assets/img/logo.png HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:23 +0700] "GET /library_manager/assets/img/messages-1.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:23 +0700] "GET /js/echarts.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:23 +0700] "GET /library_manager/assets/img/profile-img.jpg HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:23 +0700] "GET /js/tinymce.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:23 +0700] "GET /library_manager/assets/img/messages-3.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:23 +0700] "GET /js/validate.js HTTP/1.1" 404 691
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:23 +0700] "GET /library_manager/assets/img/messages-2.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:23 +0700] "GET /js/main.js HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:31 +0700] "GET /library_manager/addBook.jsp HTTP/1.1" 200 13791
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:31 +0700] "GET /library_manager/assets/img/messages-1.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:31 +0700] "GET /library_manager/assets/img/logo.png HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:31 +0700] "GET /library_manager/assets/img/profile-img.jpg HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:31 +0700] "GET /js/tinymce.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:31 +0700] "GET /library_manager/assets/img/messages-2.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:31 +0700] "GET /library_manager/assets/img/messages-3.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:31 +0700] "GET /js/echarts.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:31 +0700] "GET /js/validate.js HTTP/1.1" 404 691
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:31 +0700] "GET /js/main.js HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:13 +0700] "GET /library_manager/ HTTP/1.1" 200 41900
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:13 +0700] "GET /library_manager/assets/img/logo.png HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:13 +0700] "GET /library_manager/assets/img/messages-1.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:13 +0700] "GET /js/validate.js HTTP/1.1" 404 691
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:13 +0700] "GET /js/tinymce.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:13 +0700] "GET /js/echarts.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:13 +0700] "GET /library_manager/assets/img/profile-img.jpg HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:13 +0700] "GET /library_manager/assets/img/messages-3.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:13 +0700] "GET /library_manager/assets/img/messages-2.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:13 +0700] "GET /js/main.js HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:33 +0700] "GET /library_manager/ HTTP/1.1" 200 41911
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:33 +0700] "GET /library_manager/assets/img/logo.png HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:33 +0700] "GET /library_manager/assets/img/messages-1.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:33 +0700] "GET /js/echarts.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:33 +0700] "GET /library_manager/assets/img/messages-3.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:33 +0700] "GET /library_manager/assets/img/messages-2.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:33 +0700] "GET /js/tinymce.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:33 +0700] "GET /library_manager/assets/img/profile-img.jpg HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:33 +0700] "GET /js/validate.js HTTP/1.1" 404 691
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:33 +0700] "GET /js/main.js HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:44 +0700] "GET /library_manager/search-book?searchTitle=Truy%E1%BB%87n+Ki%E1%BB%81u HTTP/1.1" 200 13575
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:44 +0700] "GET /library_manager/assets/img/messages-3.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:44 +0700] "GET /library_manager/assets/img/messages-2.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:44 +0700] "GET /library_manager/assets/img/messages-1.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:44 +0700] "GET /library_manager/assets/img/logo.png HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:44 +0700] "GET /js/echarts.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:44 +0700] "GET /library_manager/assets/img/profile-img.jpg HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:44 +0700] "GET /js/validate.js HTTP/1.1" 404 691
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:44 +0700] "GET /js/tinymce.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:44 +0700] "GET /js/main.js HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:07:59 +0700] "GET /library_manager/pages-register.html HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:11:46 +0700] "GET /library_manager/ HTTP/1.1" 200 41909
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:11:46 +0700] "GET /library_manager/assets/img/logo.png HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:11:46 +0700] "GET /library_manager/assets/img/messages-1.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:11:46 +0700] "GET /js/echarts.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:11:46 +0700] "GET /js/validate.js HTTP/1.1" 404 691
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:11:46 +0700] "GET /library_manager/assets/img/messages-3.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:11:46 +0700] "GET /library_manager/assets/img/profile-img.jpg HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:11:46 +0700] "GET /js/tinymce.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:11:46 +0700] "GET /library_manager/assets/img/messages-2.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:11:46 +0700] "GET /js/main.js HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:12:03 +0700] "GET /library_manager/ HTTP/1.1" 200 41745
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:12:03 +0700] "GET /library_manager/assets/img/messages-1.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:12:03 +0700] "GET /library_manager/assets/img/logo.png HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:12:03 +0700] "GET /library_manager/assets/img/messages-2.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:12:03 +0700] "GET /library_manager/assets/img/profile-img.jpg HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:12:03 +0700] "GET /library_manager/assets/img/messages-3.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:12:03 +0700] "GET /js/echarts.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:12:03 +0700] "GET /js/validate.js HTTP/1.1" 404 691
